@relation RFKON_train
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute c8:6c:87:46:62:1c_ZyXEL8908bS3 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 18:28:61:c7:6b:67_inonet numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 04:18:d6:3e:4d:9f_ESOGU-WIFI numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 18:28:61:c7:6b:40_evarobot_wifi numeric
@attribute 98:fc:11:d7:73:e4_inonet-104 numeric
@attribute 18:28:61:72:86:cc_isimbulamadimp numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 08:37:3d:c7:8d:ea_B.B. numeric
@attribute 06:18:d6:c2:98:24_inonet-alt numeric
@attribute 04:18:d6:c1:98:24_inonet-alt numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 88:e3:ab:57:c1:14_VINNWiFi-c114 numeric
@attribute 4c:5e:0c:6f:73:41_feniks-2 numeric
@attribute 64:70:02:a4:35:04_regulateurrestaurant numeric
@attribute 'ba:b4:2e:cd:29:8a_BLU LIFE PLAY' numeric
@attribute e8:37:7a:6c:7f:55_TTNET_ZyXEL_CA3E numeric
@attribute c8:d7:19:bc:98:31_ numeric
@attribute 38:2d:d1:3e:15:9d_isimbulamadimxx numeric
@attribute '3c:33:00:50:6c:77_RC Leading-506c77' numeric
@attribute e4:8d:8c:95:5c:60_evarobot_wifi numeric
@attribute REF_POINT {1,6,7,8,9,10,11,12,50,51,52,53,54}

@data
-73,-68,-89,-85,100,-48,-78,-67,-24,-68,-76,100,-64,100,-66,-39,100,-67,100,100,100,-54,-78,100,100,100,-58,-67,100,100,100,100,100,-77,100,100,-81,54
-72,-68,100,-85,100,-48,100,-67,-24,100,-73,100,-66,100,-69,-39,100,-66,100,100,100,-54,-78,100,100,100,-57,-67,100,100,100,100,100,100,100,100,100,54
-73,-68,100,100,100,-49,100,-66,-24,100,-75,100,-66,100,-68,-39,100,100,100,100,100,-54,100,100,100,100,-56,-67,100,100,100,100,100,100,100,100,100,54
100,100,100,100,100,-48,100,-67,-27,100,-73,100,100,100,-66,-39,100,100,100,100,100,-54,-78,100,100,100,-56,-67,100,100,100,100,100,100,100,100,100,54
100,-70,100,100,100,-49,100,-67,-24,100,100,100,100,100,-68,-39,100,100,100,100,100,-52,100,100,100,100,-59,-65,100,100,100,100,100,100,100,100,100,54
-73,-70,100,-83,100,-49,-81,-66,-23,-68,-76,100,-66,100,-66,-39,100,-66,100,100,100,-54,-78,100,100,100,-56,-67,100,100,100,100,100,-77,100,100,-81,54
100,-71,100,-84,-88,-49,100,-67,-24,-68,-76,-88,-66,100,-67,-39,100,-63,100,100,100,-49,-77,100,100,100,-56,-65,100,100,100,100,100,-76,100,100,-80,54
-72,-69,100,100,100,-49,100,-68,-23,-69,-75,100,-66,100,-69,-41,100,-67,100,100,100,-53,100,100,100,100,-57,-67,100,100,100,100,100,100,100,100,100,54
100,-69,100,100,100,-49,-81,-66,-24,100,100,100,-66,100,-69,-42,100,-66,100,100,100,-53,100,100,100,100,-57,-66,100,100,100,100,100,100,100,100,-82,54
-72,-69,100,-84,100,-50,100,-67,-24,-68,-73,100,100,100,-69,-41,100,-65,100,100,100,-54,-70,100,100,100,-59,-67,100,100,100,100,100,-76,100,100,-80,54
-72,-74,100,-86,100,-72,-81,-67,-24,-74,-72,100,-66,100,-69,-41,100,-66,100,100,100,-53,100,100,100,100,-57,-67,100,100,100,100,100,-77,100,100,-79,54
100,-69,100,100,100,-51,100,-66,-27,-69,100,100,100,100,-64,-41,100,-66,100,100,100,-49,100,100,100,100,-57,-67,100,100,100,100,100,100,100,100,100,54
-73,100,100,-85,100,-49,-80,-68,-24,100,-74,100,-66,100,-69,-41,100,-66,100,100,100,-50,100,100,100,100,-56,-68,100,100,100,100,100,-77,100,100,-80,54
-72,-70,-88,-81,100,-49,-79,-67,-24,-68,-72,100,-64,100,-67,-41,100,-66,100,100,100,-53,-72,100,100,100,-57,-67,100,100,100,100,100,-77,100,100,-80,54
-74,-70,-89,-83,100,-49,-82,-67,-24,-69,-75,100,-67,100,-67,-41,100,-66,100,100,100,-53,100,100,100,100,-57,-67,100,100,100,100,100,100,100,100,-80,54
-74,-69,100,-84,100,-49,100,-66,-24,-69,-76,100,-66,100,-67,-41,100,-66,100,100,100,-53,-71,100,100,100,-56,-68,100,100,100,100,100,-76,100,100,-80,54
